,Line_Lyrics,NumWords,Normalize_Lyrics
15907,just tell me you want me,6,just tell you want
15908,oh you,2,you
15909,wont you tell me you love me ,7,wont you tell you love
15910,wont you tell me you love me ,7,wont you tell you love
15911,wont you tell me you want me ,7,wont you tell you want
15912,i could get used to you,6,could get used you
15913,i could get used to you,6,could get used you
15914,i could get used to you,6,could get used you
15915,i could get used to you,6,could get used you
15916,i could get used to you,6,could get used you
15917,i could get used to you,6,could get used you
15918,yeah lets get to the point here,7,yeah lets get the point here
15919,you love to disappoint me dont ya ,7,you love disappoint dont
15920,you tell me what i want but aint no follow through,11,you tell what want but aint follow through
15921,you dont follow through no,5,you dont follow through
15922,but if you only knew me,6,but you only knew
15923,the way you know my body baby,7,the way you know body baby
15924,then i think maybe we could probably see this through,10,then think maybe could probably see this through
15925,we could make it through but,6,could make through but
15926,ive been thinking itd be better,6,ive been thinking itd better
15927,if we didnt know each other,6,didnt know each other
15928,then you go and make me feel okay,8,then you and make feel okay
15929,got me thinking itd be better,6,got thinking itd better
15930,if we didnt stay together,5,didnt stay together
15931,then you put your hands up on my waist,9,then you put your hands waist
15932,i know its really bad,5,know its really bad
15933,messing with my head,4,messing with head
15934,we drive each othеr mad,5,drive each othr mad
15935,but baby thats what makes us good in bed,9,but baby thats what makes good bed
15936,pleasе come take it out on me,7,pleas come take out
15937,i know its really bad,5,know its really bad
15938,but baby thats what makes us good in bed,9,but baby thats what makes good bed
15939,ahh,1,ahh
15940,mmm,1,mmm
15941,hey ah,2,hey
15942,i dedicate this verse to ,5,dedicate this verse
15943,all that good pipe in the moonlight,7,all that good pipe the moonlight
15944,in the long nights where we did everything but talk it through,12,the long nights where did everything but talk through
15945,thats what we do yeah ,5,thats what yeah
15946,you always let me down boy ,6,you always let down boy
15947,but when youre going down i get so up ,9,but when youre going down get
15948,dont know if i can find someone who do me like you do,13,dont know can find someone who like you
15949,ive been thinking itd be better,6,ive been thinking itd better
15950,if we didnt know each other,6,didnt know each other
15951,then you go and make me feel okay,8,then you and make feel okay
15952,got me thinking itd be better,6,got thinking itd better
15953,if we didnt stay together,5,didnt stay together
15954,then you put your hands up on my waist ,9,then you put your hands waist
15955,i know its really bad,5,know its really bad
15956,messing with my head,4,messing with head
15957,we drive each other mad,5,drive each other mad
15958,but baby thats what makes us good in bed,9,but baby thats what makes good bed
15959,please come take it out on me,7,please come take out
15960,i know its really bad,5,know its really bad
15961,but baby thats what makes us good in bed,9,but baby thats what makes good bed
15962,ahh,1,ahh
15963,thats what makes us good in bed,7,thats what makes good bed
15964,hey ahh,2,hey ahh
15965,sometimes i think about you you know ,7,sometimes think about you you know
15966,i cant get you out of my mind,8,cant get you out mind
15967,its like an addiction,4,its like addiction
15968,i cant stop,3,cant stop
15969,i love you,3,love you
15970,ah ah,2,
15971,ah ah ah,3,
15972,ah ah ah,3,
15973,did a full 180 crazy,5,did full crazy
15974,thinking bout the way i was,6,thinking bout the way was
15975,did the heartbreak change me maybe,6,did the heartbreak change maybe
15976,but look at where i ended up,7,but look where ended
15977,im all good already,4,all good already
15978,so moved on its scary,5,moved its scary
15979,im not where you left me at all so,9,not where you left all
15980,if you dont wanna see me dancing with somebody,9,you dont wanna see dancing with somebody
15981,dont show up dont come out,6,dont show dont come out
15982,dont show up dont come out,6,dont show dont come out
15983,dont show up dont come out,6,dont show dont come out
15984,dont start caring about me caring about me,8,dont start caring about caring about
15985,caring about me caring about me,6,caring about caring about
15986,caring about me now,4,caring about now
15987,dont start caring about me caring about me,8,dont start caring about caring about
15988,caring about me caring about me,6,caring about caring about
15989,caring about me caring about me,6,caring about caring about
15990,caring about me now,4,caring about now
15991,arent you the guy who tried to,7,arent you the guy who tried
15992,hurt me with the word goodbye ,6,hurt with the word goodbye
15993,though it took some time to survivе you,8,though took some time surviv you
15994,im better on the othеr side,6,better the othr side
15995,im all good already,4,all good already
15996,so moved on its scary,5,moved its scary
15997,im not where you left me at all so,9,not where you left all
15998,if you dont wanna see me dancing with somebody,9,you dont wanna see dancing with somebody
15999,dont show up dont come out,6,dont show dont come out
16000,dont start caring about me now,6,dont start caring about now
16001,walk away you know how,5,walk away you know how
16002,dont start caring about me now,6,dont start caring about now
16003,dont start caring about me caring about me,8,dont start caring about caring about
16004,caring about me caring about me,6,caring about caring about
16005,caring about me caring about me,6,caring about caring about
16006,caring about me now,4,caring about now
16007,dont start caring about me caring about me,8,dont start caring about caring about
16008,caring about me caring about me,6,caring about caring about
16009,caring about me caring about me,6,caring about caring about
16010,caring about me now,4,caring about now
16011,dont show up dont come out,6,dont show dont come out
16012,dont start caring about me now,6,dont start caring about now
16013,walk away you know how,5,walk away you know how
16014,dont start caring about me now,6,dont start caring about now
16015,walk away you know how,5,walk away you know how
16016,dont start caring about me now,6,dont start caring about now
16017,walk away you know how,5,walk away you know how
16018,dont start,2,dont start
16019,dont show up dont come out,6,dont show dont come out
16020,dont start caring about me now,6,dont start caring about now
16021,walk away you know how,5,walk away you know how
16022,dont start caring about me now,6,dont start caring about now
16023,caring about me caring about me,6,caring about caring about
16024,caring about me caring about me,6,caring about caring about
16025,caring about me caring about me,6,caring about caring about
16026,caring about me caring about me,6,caring about caring about
16027,caring about me caring about me,6,caring about caring about
16028,caring about me caring about me,6,caring about caring about
16029,caring about me caring about me,6,caring about caring about
16030,caring about me caring about me now,7,caring about caring about now
16031,dont show up dont come out,6,dont show dont come out
16032,dont start caring about me now,6,dont start caring about now
16033,walk away you know how,5,walk away you know how
16034,dont start caring about me now,6,dont start caring about now
16035,dont start caring about me now,6,dont start caring about now
16036,caring about me caring about me,6,caring about caring about
16037,caring about me caring about me,6,caring about caring about
16038,caring about me caring about me,6,caring about caring about
16039,and you ask me why i keep it real,9,and you ask why keep real
16040,feel me now can you feel me now,8,feel now can you feel now
16041,one look was enough enough for me,7,one look was enough enough for
16042,the whole room stops,4,the whole room stops
16043,and its not me to be one to be one,10,and its not one one
16044,one of many,3,one many
16045,cause its a hundred others speaking,6,cause its hundred others speaking
16046,ive been tryna make a step,6,ive been tryna make step
16047,a hundred others speaking,4,hundred others speaking
16048,i cant make you understand,5,cant make you understand
16049,theres only one out here for ya one out here for ya,12,theres only one out here for one out here for
16050,ill be the first to say baby whats your name ,10,ill the first say baby whats your name
16051,if i want ya that kind of woman,8,want that kind woman
16052,i dont pretend and i wont sit still gonna show ya,11,dont pretend and wont sit still gonna show
16053,that kind of woman ,4,that kind woman
16054,hard to pretend now i cant sit still any longer,10,hard pretend now cant sit still any longer
16055,that kind of woman,4,that kind woman
16056,ill pick you from the crowd,6,ill pick you from the crowd
16057,dont come to mе,4,dont come
16058,i want you to myself,5,want you myself
16059,no i wont be wont be onе,7,wont wont
16060,wont be one one of many,6,wont one one many
16061,cause its a hundred others speaking,6,cause its hundred others speaking
16062,ive been tryna make a step,6,ive been tryna make step
16063,a hundred others speaking,4,hundred others speaking
16064,i cant make you understand,5,cant make you understand
16065,theres only one out here for ya one out here for ya,12,theres only one out here for one out here for
16066,ill be the first to say baby whats your name ,10,ill the first say baby whats your name
16067,if i want ya that kind of woman,8,want that kind woman
16068,i dont pretend and i wont sit still gonna show ya,11,dont pretend and wont sit still gonna show
16069,that kind of woman ,4,that kind woman
16070,hard to pretend now i cant sit still any longer,10,hard pretend now cant sit still any longer
16071,that kind of woman,4,that kind woman
16072, keep you close next to me i wont let you go,11,keep you close next wont let you
16073, reminisce that you once met a girl like this,9,reminisce that you once met girl like this
16074,ill be the first to say baby whats your name ,10,ill the first say baby whats your name
16075,if i want ya that kind of woman,8,want that kind woman
16076,i dont pretend and i wont sit still gonna show ya,11,dont pretend and wont sit still gonna show
16077,that kind of woman ,4,that kind woman
16078,hard to pretend now i cant sit still any longer,10,hard pretend now cant sit still any longer
16079,that kind of woman,4,that kind woman
16080,lyrics for this song have yet to be released please check back once the song has been released ,18,lyrics for this song have yet released please check back once the song has been released
16081,fatal this attraction,3,fatal this attraction
16082,yeah we might just end up crashin,7,yeah might just end crashin
16083,but im ready if it happens with you,8,but ready happens with you
16084,meet me out in cali when im far away from family,11,meet out cali when far away from family
16085,and i need someone to hold onto,7,and need someone hold onto
16086,youre the only thing i know,6,youre the only thing know
16087,and i dont wanna let this go,7,and dont wanna let this
16088,close to you i feel feel like im at home,10,close you feel feel like home
16089,cant wait til were alone,5,cant wait til were alone
16090,we were built to last,5,were built last
16091,we were built like that,5,were built like that
16092,baby take my hand,4,baby take hand
16093,dive in this romance,4,dive this romance
16094,we could burn and crash,5,could burn and crash
16095,we could take a chance,5,could take chance
16096,holdin nothin back,3,holdin nothin back
16097,like its our last dance,5,like its our last dance
16098,like its our last dance,5,like its our last dance
16099,like its our last dance,5,like its our last dance
16100,left my heart wide open,5,left heart wide open
16101,fallin in and out of focus,6,fallin and out focus
16102,pressure flowin like a river in my head,8,pressure flowin like river head
16103,crying you aint with me and its floodin the whole city,11,crying you aint with and its floodin the whole city
16104,while my souls burnin like a cigarette,7,while souls burnin like cigarette
16105,youre the only thing i know,6,youre the only thing know
16106,and i dont wanna let this go,7,and dont wanna let this
16107,close to you i feel feel like im at home,10,close you feel feel like home
16108,cant wait til were alone,5,cant wait til were alone
16109,we were built to last,5,were built last
16110,we were built like that,5,were built like that
16111,baby take my hand,4,baby take hand
16112,dive in this romance,4,dive this romance
16113,we could burn and crash,5,could burn and crash
16114,we could take a chance,5,could take chance
16115,holdin nothin back,3,holdin nothin back
16116,like its our last dance,5,like its our last dance
16117,like its our last dance,5,like its our last dance
16118,like its our last dance,5,like its our last dance
16119,like its our last dance,5,like its our last dance
16120,like its our last dance,5,like its our last dance
16121,way too soon to feel so strong,7,way too soon feel strong
16122,way too young to hurt so long,7,way too young hurt long
16123,im hurtin,2,hurtin
16124,was it worth it ,4,was worth
16125,way too soon to feel so strong,7,way too soon feel strong
16126,way too young to hurt so long,7,way too young hurt long
16127,im hurtin,2,hurtin
16128,was it worth it ,4,was worth
16129,like its our last dance,5,like its our last dance
16130,like its our last dance,5,like its our last dance
16131,like its our last dance,5,like its our last dance
16132,common love isnt for us,5,common love isnt for
16133,we created something phenomenal,4,created something phenomenal
16134,dont you agree ,3,dont you agree
16135,dont you agree ,3,dont you agree
16136,you got me feeling diamond rich,6,you got feeling diamond rich
16137,nothing on this planet compares to it,7,nothing this planet compares
16138,dont you agree ,3,dont you agree
16139,dont you agree ,3,dont you agree
16140,all night ill riot with you,6,all night ill riot with you
16141,baby keep on dancing like you aint got a choice,10,baby keep dancing like you aint got choice
16142,baby keep on dancing,4,baby keep dancing
16143,baby keep on dancing,4,baby keep dancing
16144,lets get physical,3,lets get physical
16145,ill riot with you,4,ill riot with you
16146,baby keep on dancing like you aint got a choice,10,baby keep dancing like you aint got choice
16147,baby keep on dancing,4,baby keep dancing
16148,baby keep on dancing,4,baby keep dancing
16149,lets get physical,3,lets get physical
16150,adrenaline keeps on rushing in,5,adrenaline keeps rushing
16151,love the simulation were dreaming in,6,love the simulation were dreaming
16152,dont you agree ,3,dont you agree
16153,dont you agree ,3,dont you agree
16154,i dont wanna live another life,6,dont wanna live another life
16155,cause this ones pretty nice,5,cause this ones pretty nice
16156,living it up,3,living
16157,all night ill riot with you,6,all night ill riot with you
16158,baby keep on dancing like you aint got a choice,10,baby keep dancing like you aint got choice
16159,baby keep on dancing,4,baby keep dancing
16160,baby keep on dancing,4,baby keep dancing
16161,lets get physical,3,lets get physical
16162,ill riot with you,4,ill riot with you
16163,baby keep on dancing like you aint got a choice,10,baby keep dancing like you aint got choice
16164,baby keep on dancing,4,baby keep dancing
16165,baby keep on dancing,4,baby keep dancing
16166,lets get physical,3,lets get physical
16167,tell me if youre ready,5,tell youre ready
16168,come on,2,come
16169,come on,2,come
16170,lets get physical,3,lets get physical
16171,tell me if youre ready,5,tell youre ready
16172,come on,2,come
16173,come on,2,come
16174,lets get physical,3,lets get physical
16175,all night ill riot with you,6,all night ill riot with you
16176,baby keep on dancing like you aint got a choice,10,baby keep dancing like you aint got choice
16177,baby keep on dancing,4,baby keep dancing
16178,baby keep on dancing,4,baby keep dancing
16179,lets get physical,3,lets get physical
16180,ill riot with you,4,ill riot with you
16181,baby keep on dancing like you aint got a choice,10,baby keep dancing like you aint got choice
16182,baby keep on dancing,4,baby keep dancing
16183,baby keep on dancing,4,baby keep dancing
16184,lets get physical,3,lets get physical
16185,i need it i want it i need it i want it ,12,need want need want
16186,i need it i want it tonight,7,need want tonight
16187,i want it i need it this current between us,10,want need this current between
16188,this flow this feeling tonight,5,this flow this feeling tonight
16189,i want it i need it this current between us,10,want need this current between
16190,this flow this feeling tonight,5,this flow this feeling tonight
16191,i want it i need it this current between us,10,want need this current between
16192,this flow this feeling tonight,5,this flow this feeling tonight
16193,i want it i need it this current between us,10,want need this current between
16194,this flow this feeling tonight,5,this flow this feeling tonight
16195,i want it i need it this current between us,10,want need this current between
16196,this flow this feeling tonight,5,this flow this feeling tonight
16197,i want it i need it this current between us,10,want need this current between
16198,this flow this feeling tonight,5,this flow this feeling tonight
16199,i want it i need it this current between us,10,want need this current between
16200,this flow this feeling tonight,5,this flow this feeling tonight
16201,i want it i need it this current between us,10,want need this current between
16202,this flow this feeling tonight,5,this flow this feeling tonight
16203,ooh baby,2,ooh baby
16204,ima love you differently,4,ima love you differently
16205,ill give you electricity,4,ill give you electricity
16206,give it to you,4,give you
16207,ooh baby,2,ooh baby
16208,ima love you differently,4,ima love you differently
16209,ill give you electricity,4,ill give you electricity
16210,give it to you,4,give you
16211,and even if i could,5,and even could
16212,i wouldnt turn on you,5,wouldnt turn you
16213,and i would stop the world for you you know,10,and would stop the world for you you know
16214,i wanna let you know ill never let this feeling go,11,wanna let you know ill never let this feeling
16215,this love has no ceiling i cannot deny,8,this love has ceiling cannot deny
16216,on the trigger aim and pull it bite the bullet,10,the trigger aim and pull bite the bullet
16217,trust your heart finish what you started what you started,10,trust your heart finish what you started what you started
16218,la la la la la la,6,
16219,la la la la la la,6,
16220,la la la la la la,6,
16221,la la la la la la,6,
16222,la la la la la la,6,
16223,la la la la la la,6,
16224,la la la la la la,6,
16225,la la la la la la,6,
16226,la la la la la la,6,
16227,la la la la la la,6,
16228,la la la la la la,6,
16229,la la la la la la,6,
16230,la la la la la la,6,
16231,la la la la la la,6,
16232,i never thought that i would find a way out,10,never thought that would find way out
16233,i never thought id hear my heart beat so loud,10,never thought hear heart beat loud
16234,i cant believe theres something left in my chest anymore,10,cant believe theres something left chest anymore
16235,but goddamn you got me in love again,8,but goddamn you got love again
16236,i used to think that i was made out of stone,11,used think that was made out stone
16237,i used to spend so many nights on my own,10,used spend many nights own
16238,i never knew i had it in me to dance anymore,11,never knew had dance anymore
16239,but goddamn you got me in love again,8,but goddamn you got love again
16240,show me that heavens right here baby,7,show that heavens right here baby
16241,touch me so i know im not crazy,8,touch know not crazy
16242,never have i ever met somebody like you,8,never have ever met somebody like you
16243,used to be afraid of love and what it might do,11,used afraid love and what might
16244,but goddamn you got me in love again,8,but goddamn you got love again
16245,you got me in love again,6,you got love again
16246,you got me in love again,6,you got love again
16247,again,1,again
16248,so many nights my tears fell harder than rain,9,many nights tears fell harder than rain
16249,scared i would take my broken heart to the grave,10,scared would take broken heart the grave
16250,id rather die than have to live in a storm like before,12,rather die than have live storm like before
16251,but goddamn you got me in love again,8,but goddamn you got love again
16252,show me that heavens right here baby,7,show that heavens right here baby
16253,touch me so i know im not crazy,8,touch know not crazy
16254,never have i ever met somebody like you,8,never have ever met somebody like you
16255,used to be afraid of love and what it might do,11,used afraid love and what might
16256,but goddamn you got me in love again,8,but goddamn you got love again
16257,you got me in love again,6,you got love again
16258,you got me in love again,6,you got love again
16259,you got me in love again,6,you got love again
16260,dance a dan dance anymore,5,dance dan dance anymore
16261,dance a dan dance anymore,5,dance dan dance anymore
16262,dance a dan dance anymore,5,dance dan dance anymore
16263,dance dan dance anymore,4,dance dan dance anymore
16264,dance a dan dance anymore,5,dance dan dance anymore
16265,dance a dan dance anymore,5,dance dan dance anymore
16266,dance a dan dance anymore,5,dance dan dance anymore
16267,dance dan dance anymore,4,dance dan dance anymore
16268,you got me in love again,6,you got love again
16269,you got me in love again,6,you got love again
16270,you got me in love again,6,you got love again
16271,you got me in love again,6,you got love again
16272,goddamn,1,goddamn
16273,if you dont wanna see me,6,you dont wanna see
16274,did a full 180 crazy,5,did full crazy
16275,thinking bout the way i was,6,thinking bout the way was
16276,did the heartbreak change me maybe,6,did the heartbreak change maybe
16277,but look at where i ended up,7,but look where ended
16278,im all good already,4,all good already
16279,so moved on its scary,5,moved its scary
16280,im not where you left me at all so,9,not where you left all
16281,if you dont wanna see me dancing with somebody,9,you dont wanna see dancing with somebody
16282,if you wanna believe that anything could stop me,9,you wanna believe that anything could stop
16283,dont show up dont come out,6,dont show dont come out
16284,dont start caring about me now,6,dont start caring about now
16285,walk away you know how,5,walk away you know how
16286,dont start caring about me now,6,dont start caring about now
16287,arent you the guy who tried to,7,arent you the guy who tried
16288,hurt me with the word goodbye ,6,hurt with the word goodbye
16289,though it took some time to survive you,8,though took some time survive you
16290,im better on the other side,6,better the other side
16291,im all good already,4,all good already
16292,so moved on its scary,5,moved its scary
16293,im not where you left me at all so,9,not where you left all
16294,if you dont wanna see me dancing with somebody,9,you dont wanna see dancing with somebody
16295,if you wanna believe that anything could stop me,9,you wanna believe that anything could stop
16296,dont show up dont come out,6,dont show dont come out
16297,dont start caring about me now,6,dont start caring about now
16298,walk away you know how,5,walk away you know how
16299,dont start caring about me now,6,dont start caring about now
16300,if you dont wanna see me dancing with somebody,9,you dont wanna see dancing with somebody
16301,dont come out,3,dont come out
16302,if you wanna believe that anything could stop me,9,you wanna believe that anything could stop
16303,dont start now,3,dont start now
16304,if you dont wanna see me,6,you dont wanna see
16305,verse 1,2,verse
16306,ripped him apart,3,ripped him apart
16307,gone for five years,4,gone for five years
16308,lose either way,3,lose either way
16309,we may not have that far still could break apart,10,may not have that far still could break apart
16310,pre chorus,2,pre chorus
16311,everything seemed everything was for real,6,everything seemed everything was for real
16312,until that day when they saw a sign,8,until that day when they saw sign
16313,chorus,1,chorus
16314,the first one said when you get a new car you love it even if its rusted completely,18,the first one said when you get new car you love even its rusted completely
16315,the next said hold on you just hold on to me while your falling apart,15,the next said hold you just hold while your falling apart
16316,this life may be filled with agony,7,this life may filled with agony
16317,and people that you love fall apart,7,and people that you love fall apart
16318,versе 2,2,vers
16319,stuck inside an empty home,5,stuck inside empty home
16320,stomach is hollow,3,stomach hollow
16321,and еverything is falling apart,5,and verything falling apart
16322,we got nothing in common,5,got nothing common
16323,pre chorus,2,pre chorus
16324,is it all right if i let you get my time,11,all right let you get time
16325,if you take it all apart,6,you take all apart
16326,chorus,1,chorus
16327,the first one said when you get a new car you love it even if its rusted completely,18,the first one said when you get new car you love even its rusted completely
16328,the next said hold on you just hold on to me while your falling apart,15,the next said hold you just hold while your falling apart
16329,this life may be filled with agony,7,this life may filled with agony
16330,and people that you love fall apart,7,and people that you love fall apart
16331,bridge,1,bridge
16332,i was caught up in a terrible storm,8,was caught terrible storm
16333,my wheels were slowly coming apart,6,wheels were slowly coming apart
16334,chorus,1,chorus
16335,the first one said when you get a new car you love it even if its rusted completely,18,the first one said when you get new car you love even its rusted completely
16336,the next said hold on you just hold on to me while your falling apart,15,the next said hold you just hold while your falling apart
16337,this life may be filled with agony,7,this life may filled with agony
16338,and people that you love fall apart,7,and people that you love fall apart
16339,verse 1,2,verse
16340,online we fall apart,4,online fall apart
16341,let me share mine with you,6,let share mine with you
16342,the first one said when you get a new car you love it even if its rusted completely,18,the first one said when you get new car you love even its rusted completely
16343,the next said hold on you just hold on to me while your falling apart,15,the next said hold you just hold while your falling apart
16344,pre chorus,2,pre chorus
16345,stuck inside an empty home,5,stuck inside empty home
16346,stomach is hollow,3,stomach hollow
16347,chorus,1,chorus
16348,drifting apart to fall apart,5,drifting apart fall apart
16349,drifting apart towards nowhere,4,drifting apart towards nowhere
16350,i never ever want to be a servant,8,never ever want servant
16351,having nothing always want to play the part,8,having nothing always want play the part
16352,verse 2,2,verse
16353,while everything around us,4,while everything around
16354,still falls apart,3,still falls apart
16355,i was caught up in a terrible storm,8,was caught terrible storm
16356,my wheels were slowly coming apart,6,wheels were slowly coming apart
16357,pre chorus,2,pre chorus
16358,well that whole fall,4,well that whole fall
16359,i came apart at the seams,6,came apart the seams
16360,chorus,1,chorus
16361,drifting apart to fall apart,5,drifting apart fall apart
16362,drifting apart towards nowhere,4,drifting apart towards nowhere
16363,i never ever want to be a servant,8,never ever want servant
16364,having nothing always want to play the part,8,having nothing always want play the part
16365,bridge,1,bridge
16366,tell me have you fallen apart ,6,tell have you fallen apart
16367,say that you want me back,6,say that you want back
16368,chorus,1,chorus
16369,drifting apart to fall apart,5,drifting apart fall apart
16370,drifting apart towards nowhere,4,drifting apart towards nowhere
16371,i never ever want to be a servant,8,never ever want servant
16372,having nothing always want to play the part,8,having nothing always want play the part
16373,verse 1,2,verse
16374,the first one said when you get a new car you love it even if its rusted completely,18,the first one said when you get new car you love even its rusted completely
16375,the next said hold on you just hold on to me while your falling apart,15,the next said hold you just hold while your falling apart
16376,lose either way,3,lose either way
16377,we may not have that far still could break apart,10,may not have that far still could break apart
16378,pre chorus,2,pre chorus
16379,tell me have you fallen apart ,6,tell have you fallen apart
16380,say that you want me back,6,say that you want back
16381,chorus,1,chorus
16382,why gain some never ending game,6,why gain some never ending game
16383,when you can take it apart and start over ,9,when you can take apart and start over
16384,ripped him apart,3,ripped him apart
16385,gone for five years,4,gone for five years
16386,verse 2,2,verse
16387,i never ever want to be a servant,8,never ever want servant
16388,having nothing always want to play the part,8,having nothing always want play the part
16389,i really really want to break free,7,really really want break free
16390,from everything and everything that keeps us apart,8,from everything and everything that keeps apart
16391,pre chorus,2,pre chorus
16392,two hundred hours,3,two hundred hours
16393,that old log cab out on the railroad,8,that old log cab out the railroad
16394,chorus,1,chorus
16395,why gain some never ending game,6,why gain some never ending game
16396,when you can take it apart and start over ,9,when you can take apart and start over
16397,ripped him apart,3,ripped him apart
16398,gone for five years,4,gone for five years
16399,bridge,1,bridge
16400,this life may be filled with agony,7,this life may filled with agony
16401,and people that you love fall apart,7,and people that you love fall apart
16402,chorus,1,chorus
16403,why gain some never ending game,6,why gain some never ending game
16404,when you can take it apart and start over ,9,when you can take apart and start over
16405,ripped him apart,3,ripped him apart
16406,gone for five years,4,gone for five years
16407,verse 1,2,verse
16408,ripped him apart,3,ripped him apart
16409,gone for five years,4,gone for five years
16410,online we fall apart,4,online fall apart
16411,let me share mine with you,6,let share mine with you
16412,pre chorus,2,pre chorus
16413,is it all right if i let you get my time,11,all right let you get time
16414,if you take it all apart,6,you take all apart
16415,chorus,1,chorus
16416,this life may be filled with agony,7,this life may filled with agony
16417,and people that you love fall apart,7,and people that you love fall apart
16418,why gain some never ending game,6,why gain some never ending game
16419,when you can take it apart and start over ,9,when you can take apart and start over
16420,verse 2,2,verse
16421,well that whole fall,4,well that whole fall
16422,i came apart at the seams,6,came apart the seams
16423,walking this morning in the rain,6,walking this morning the rain
16424,right up to the road again,6,right the road again
16425,pre chorus,2,pre chorus
16426,everything seemed everything was for real,6,everything seemed everything was for real
16427,until that day when they saw a sign,8,until that day when they saw sign
16428,chorus,1,chorus
16429,this life may be filled with agony,7,this life may filled with agony
16430,and people that you love fall apart,7,and people that you love fall apart
16431,why gain some never ending game,6,why gain some never ending game
16432,when you can take it apart and start over ,9,when you can take apart and start over
16433,bridge,1,bridge
16434,i was caught up in a terrible storm,8,was caught terrible storm
16435,my wheels were slowly coming apart,6,wheels were slowly coming apart
16436,chorus,1,chorus
16437,this life may be filled with agony,7,this life may filled with agony
16438,and people that you love fall apart,7,and people that you love fall apart
16439,why gain some never ending game,6,why gain some never ending game
16440,when you can take it apart and start over ,9,when you can take apart and start over
16441,verse 1,2,verse
16442,stuck inside an empty home,5,stuck inside empty home
16443,stomach is hollow,3,stomach hollow
16444,and everything is falling apart,5,and everything falling apart
16445,online we fall apart,4,online fall apart
16446,pre chorus,2,pre chorus
16447,i never ever want to be a servant,8,never ever want servant
16448,having nothing always want to play the part,8,having nothing always want play the part
16449,chorus,1,chorus
16450,drifting apart to fall apart,5,drifting apart fall apart
16451,drifting apart towards nowhere,4,drifting apart towards nowhere
16452,verse 2,2,verse
16453,tell me have you fallen apart ,6,tell have you fallen apart
16454,say that you want me back,6,say that you want back
16455,is there no turning back ,5,there turning back
16456,this life may be filled with agony,7,this life may filled with agony
16457,pre chorus,2,pre chorus
16458,while everything around us,4,while everything around
16459,still falls apart,3,still falls apart
16460,chorus,1,chorus
16461,drifting apart to fall apart,5,drifting apart fall apart
16462,drifting apart towards nowhere,4,drifting apart towards nowhere
16463,bridge,1,bridge
16464,and when we weigh me down,6,and when weigh down
16465,you slip and fall apart,5,you slip and fall apart
16466,chorus,1,chorus
16467,drifting apart to fall apart,5,drifting apart fall apart
16468,drifting apart towards nowhere,4,drifting apart towards nowhere
16469,i i cant lie i m scared to open my eyes,11,cant lie scared open eyes
16470,cause what if i find nothin at all nothin at all ,11,cause what find nothin all nothin all
16471,what is the point of my lips if they dont make noise oh,13,what the point lips they dont make noise
16472,what is the point of doin nothin at all watchin it fall ,12,what the point doin nothin all watchin fall
16473,the flicker burning you know the time is runnin running out,11,the flicker burning you know the time runnin running out
16474,only i see oh the diamonds diamonds breaking down,9,only see the diamonds diamonds breaking down
16475,i wont stay quiet i wont stay quiet,8,wont stay quiet wont stay quiet
16476, cause staying silent s the same as dyin,8,cause staying silent the same dyin
16477,i won t stay quiet the flickers burning now,9,won stay quiet the flickers burning now
16478,this is not a this is not a swan swan song,11,this not this not swan swan song
16479,this is not a this is not a swan swan song,11,this not this not swan swan song
16480,we just gotta we just gotta hold on tonight,9,just gotta just gotta hold tonight
16481,this is not a this is not a swan song swan song swan dive,14,this not this not swan song swan song swan dive
16482,its a new life,4,its new life
16483,real fantasy wishin it was make believe oh,8,real fantasy wishin was make believe
16484,what is the reason of doin nothin at all watchin it fall ,12,what the reason doin nothin all watchin fall
16485,the flicker burning you know the time is runnin running out,11,the flicker burning you know the time runnin running out
16486,only i see oh the diamonds diamonds breaking down,9,only see the diamonds diamonds breaking down
16487,i wont stay quiet i wont stay quiet,8,wont stay quiet wont stay quiet
16488,cause staying silents the same as dyin,7,cause staying silents the same dyin
16489,i wont stay quiet the flickers burning now,8,wont stay quiet the flickers burning now
16490,this is not a this is not a swan swan song,11,this not this not swan swan song
16491,this is not a this is not a swan swan song,11,this not this not swan swan song
16492,we just gotta we just gotta hold on tonight,9,just gotta just gotta hold tonight
16493,this is not a this is not a swan song swan song swan dive,14,this not this not swan song swan song swan dive
16494,tread heavily around me,4,tread heavily around
16495,tread heavily around me,4,tread heavily around
16496,tread heavily around me,4,tread heavily around
16497,tread heavily around me,4,tread heavily around
16498,this is not a this is not a swan swan song,11,this not this not swan swan song
16499,this is not a this is not a swan swan song,11,this not this not swan swan song
16500,we just gotta we just gotta hold on tonight,9,just gotta just gotta hold tonight
16501,this is not a this is not a swan song swan song swan dive,14,this not this not swan song swan song swan dive
16502,yeah its a new life,5,yeah its new life
16503,i i cant lie im scared to open my eyes,10,cant lie scared open eyes
16504,what is the point of my lips if they dont make noise oh,13,what the point lips they dont make noise
16505,watching it fall watching it fall,6,watching fall watching fall
16506,the flicker burning you know the time is running running out,11,the flicker burning you know the time running running out
16507,only i see oh the diamonds diamonds breaking down,9,only see the diamonds diamonds breaking down
16508,i wont stay quiet i wont stay quiet,8,wont stay quiet wont stay quiet
16509,cause staying silents the same as dying,7,cause staying silents the same dying
16510,i wont stay quiet the flickers burning now now,9,wont stay quiet the flickers burning now now
16511,this is not a this is not a swan song,10,this not this not swan song
16512,this is not a swan song,6,this not swan song
